Jurisdiction,Office,Term (years)
Baraboo School District,School Board Member,3
Cambria-Friesland School District,School Board Member,3
City of Columbus,Alderperson District 1,2
City of Columbus,Alderperson District 2,2
City of Columbus,Alderperson District 3,2
City of Columbus,Mayor,2
City of Columbus,Municipal Judge,4
City of Lodi,Alderperson,2
City of Lodi,Alderperson ,2
City of Lodi,Alderperson District 1,2
City of Lodi,Alderperson District 2,2
City of Lodi,Alderperson District 3,2
City of Lodi,Mayor,2
City of Portage,Alderperson District 1,3
City of Portage,Alderperson District 2,3
City of Portage,Alderperson District 3,3
City of Portage,Alderperson District 4,3
City of Portage,Alderperson District 5,3
City of Portage,Alderperson District 6,3
City of Portage,Alderperson District 7,3
City of Portage,Alderperson District 8,3
City of Portage,Alderperson District 9,3
City of Portage,Mayor,3
City of Wisconsin Dells,Alderperson District 1,3
City of Wisconsin Dells,Alderperson District 2,3
City of Wisconsin Dells,Alderperson District 3,3
City of Wisconsin Dells,Mayor,3
City of Wisconsin Dells,Municipal Judge,4
Columbia County,Clerk of Circuit Court,4
Columbia County,County Clerk,4
Columbia County,County Supervisor District 1,2
Columbia County,County Supervisor District 10,2
Columbia County,County Supervisor District 11,2
Columbia County,County Supervisor District 12,2
Columbia County,County Supervisor District 13,2
Columbia County,County Supervisor District 14,2
Columbia County,County Supervisor District 15,2
Columbia County,County Supervisor District 16,2
Columbia County,County Supervisor District 17,2
Columbia County,County Supervisor District 18,2
Columbia County,County Supervisor District 19,2
Columbia County,County Supervisor District 2,2
Columbia County,County Supervisor District 20,2
Columbia County,County Supervisor District 21,2
Columbia County,County Supervisor District 22,2
Columbia County,County Supervisor District 23,2
Columbia County,County Supervisor District 24,2
Columbia County,County Supervisor District 25,2
Columbia County,County Supervisor District 26,2
Columbia County,County Supervisor District 27,2
Columbia County,County Supervisor District 28,2
Columbia County,County Supervisor District 3,2
Columbia County,County Supervisor District 4,2
Columbia County,County Supervisor District 5,2
Columbia County,County Supervisor District 6,2
Columbia County,County Supervisor District 7,2
Columbia County,County Supervisor District 8,2
Columbia County,County Supervisor District 9,2
Columbia County,County Treasurer,4
Columbia County,District Attorney,4
Columbia County,Register of Deeds,4
Columbia County,Sheriff,4
Columbia County Circuit Court,Circuit Court Judge,6
Columbia County Circuit Court,Circuit Court Judge Branch 2,6
Columbia County Circuit Court,Circuit Court Judge Branch 3,6
